"Delete Orders","Delete Orders"
"General","General"
"Delete","Delete"
"Do you really want to delete this orders?","Do you really want to delete this orders?"
"Are you sure you want to delete this order?","Are you sure you want to delete this order?"
"The order has been deleted.","The order has been deleted."
"Cannot delete the order.","Cannot delete the order."
"Cannot delete order #%1. Please try again later.","Cannot delete order #%1. Please try again later."
"A total of %1 order(s) has been deleted.","A total of %1 order(s) has been deleted."

